age,gender,race,income,credit_score,debt_to_income_ratio,loan_amount,loan_term,employment_years,savings_amount,num_credit_accounts,num_late_payments,has_mortgage,has_auto_loan,education,income_to_loan_ratio,monthly_payment,payment_to_income_ratio,loan_approved
56,Male,White,63765.19421544827,341,0.5791546813514674,156645.28279246067,10,9.340141682869854,25300.3407610046,5,0,1,0,Bachelor,0.4070674397513187,1305.377356603839,0.24565954000420895,1
69,Male,White,60954.779574751214,785,0.5467603772945205,181886.3237007318,10,0.10082565545787903,30526.4787235646,2,1,1,1,High School,0.3351256891367142,1515.719364172765,0.2983955072426725,1
46,Male,Black,35889.24105443078,472,0.3169774601247589,222612.30385482716,10,22.934558125828676,40751.71445325041,9,1,1,1,Bachelor,0.16121858690180638,1855.1025321235597,0.6202758746477981,1
32,Female,Black,33079.206547447306,549,0.3866642463055817,178942.2038463049,10,8.309948400421641,44048.092114440995,8,4,0,0,High School,0.18485972474028173,1491.185032052541,0.5409507135234286,0
60,Male,White,63137.974126392946,809,0.5837595939026203,340100.20564491564,15,9.890336861560122,37778.951527068835,8,1,0,1,High School,0.18564521008350304,1889.445586916198,0.35910792762538857,1
25,Female,Hispanic,35553.05190769941,801,0.5912801809632351,243537.3467267978,20,25.304436745411316,14308.707693137098,3,4,0,0,High School,0.14598603616874875,1014.7389446949909,0.3424985109000686,0
78,Male,Black,51198.19548159007,492,0.32491163785897614,248398.9464639973,20,1.5675347136786189,23507.075005577397,9,4,1,0,High School,0.2061127722577144,1034.9956102666554,0.24258564596609367,0
38,Female,White,52475.09285048554,464,0.5236750140715443,246234.58158727735,20,27.82860994372316,11565.781984920539,5,0,0,0,PhD,0.21311016719187287,1025.9774232803222,0.23462043439242716,1
56,Female,White,56241.24263453477,389,0.2509901134769682,71159.9866457473,20,0.0408576731551924,23759.6702173749,4,0,0,1,Master,0.7903492578563587,296.4999443572804,0.06326317068432954,0
75,Female,Hispanic,67165.40860363744,357,0.2859064364653323,220196.61426173398,20,28.175073444762184,17589.774025292187,3,1,1,0,PhD,0.3050247108877074,917.4858927572249,0.16392114545239952,0
36,Male,Hispanic,24740.741262653544,562,0.18241094149511314,223646.66759310436,30,13.64275473250249,2865.527089926076,1,1,0,0,High School,0.11062423388157101,621.2407433141788,0.30132035417319497,0
40,Male,Hispanic,11776.813494790244,542,0.20459229638836515,87569.25936786464,30,3.063678754554587,41779.378677426335,3,4,0,1,Bachelor,0.13448570399936477,243.2479426885129,0.24785781939685414,1
28,Male,White,38651.05437543297,518,0.42843665112967944,288599.9974774835,10,20.224841017235622,45621.11810545769,6,2,1,0,High School,0.1339260385074969,2404.9999789790295,0.7466807882501669,1
28,Female,Asian,86030.56815664371,308,0.3553908090035405,-3741.365335365699,30,26.875692771636654,8628.818753215983,2,0,0,1,High School,-22.9944312958239,-10.392681487126943,-0.0014496263423304197,1
41,Male,White,90443.48200174757,729,0.21556593031280144,451970.80773763073,20,13.1421845054286,27811.326302127145,2,3,1,1,Bachelor,0.2001091230968396,1883.2116989067947,0.24986367051242986,1
70,Male,White,86623.54271131774,312,0.30145480818082626,196247.1034874357,10,20.740737120919988,9277.125964953653,2,2,0,0,Bachelor,0.44140036297077695,1635.392529061964,0.22655169408327044,0
53,Male,Asian,46140.37264478621,524,0.2865917299318409,114454.82882310996,20,29.38088160567882,18811.418107430163,8,0,0,0,High School,0.40313172558316607,476.89512009629146,0.12402893850061177,1
57,Male,White,14357.698360303424,366,0.5936801022676671,261772.82421009958,20,7.221024711390152,12025.253280227835,0,0,0,1,Bachelor,0.05484793314060705,1090.720100875415,0.9116113796270321,0
41,Female,Black,3139.2179669631805,802,0.5267829186056897,262615.3713823183,10,24.613483707680643,10592.549698631043,4,1,0,0,High School,0.011953671829791991,2188.461428185986,8.365630362276736,0
20,Male,White,37719.236769011775,483,0.29398316669191216,404611.4197668432,20,8.857113280415298,22852.484440008524,8,3,1,1,Bachelor,0.09322336178931241,1685.88091569518,0.536346244549746,0
39,Female,Black,46038.5273970128,507,0.5569582894480165,378217.6215668243,30,12.790127999704799,-7230.393169927822,6,3,1,0,Bachelor,0.1217249667170217,1050.6045043522897,0.2738413838372575,0
70,Male,Asian,76012.50802111917,827,0.2713176958140856,67016.71695435923,10,8.452976054917825,12156.297417451044,0,0,1,0,Bachelor,1.134232046503955,558.472641286327,0.0881653805393968,1
19,Male,White,67356.10919084892,599,0.43395075636742975,172995.40554439623,15,13.380352453023672,80233.66381353323,3,4,0,0,Bachelor,0.3893520118576973,961.0855863577568,0.17122466209583218,0
41,Male,Black,54548.101579832415,540,0.5833249983410562,109034.56519793517,15,0.15267097284847542,-3116.54207623655,5,3,0,1,Bachelor,0.5002826533109834,605.7475844329731,0.1332580017025408,0
61,Male,White,32203.104581177166,754,0.29513943199427617,274215.5174278172,15,9.103165419908144,14295.613393877276,4,2,0,1,Bachelor,0.11743720735882174,1523.4195412656513,0.5676792574177195,1
47,Male,Black,30784.408835102196,829,0.43994248255246693,341500.5752824045,20,13.358821918130873,24321.62263543085,1,4,0,0,Bachelor,0.09014452994594511,1422.9190636766855,0.5546648258078705,0
55,Female,White,55082.55374142871,543,0.2479619055313166,68341.46140969743,20,18.967205511182883,17305.943628666584,0,1,0,0,Bachelor,0.8059902818176007,284.7560892070726,0.06203548743446913,1
19,Male,White,63941.01957679453,537,0.23315615779898732,193679.54655477626,20,19.120841735277267,8541.641117476378,3,0,0,0,Bachelor,0.33013821394253834,806.9981106449011,0.1514517189721717,1
77,Female,White,57837.62524491169,545,0.387078333215776,136813.53951853278,20,17.513568554114784,34520.284846494964,9,0,0,1,Master,0.42274781756579727,570.0564146605533,0.11827382170274105,1
38,Male,White,29308.040807866902,644,0.5896322990166091,284443.99482528877,10,8.790954887768907,22240.670768009535,4,2,0,0,High School,0.10303624383375888,2370.3666235440733,0.9705322736855817,1
50,Male,Asian,63013.35257584172,783,0.32656692436008494,240948.5457883598,15,28.422129478072364,10648.285787917473,3,2,1,1,Master,0.26152202898618154,1338.6030321575545,0.25491797736927635,1
29,Female,White,58518.21934202823,609,0.5688184851582904,317581.42234156345,30,11.75909471223298,32859.04313283766,2,1,1,1,Bachelor,0.1842620985527643,882.170617615454,0.1809017350564266,1
75,Male,White,28586.671876196433,583,0.5571817601223809,157893.72504189904,10,6.506818237171734,12089.889867058391,9,1,0,1,Master,0.18105008206380974,1315.7810420158253,0.5523333591462043,0
39,Male,White,34313.580593994884,337,0.22688130617249738,188335.07531109432,15,16.63538819003962,6876.635813305924,7,3,0,1,Master,0.18219431795864507,1046.305973950524,0.36590969144163343,1
78,Male,White,63769.91949123133,331,0.30090970354216373,239411.49744146093,15,22.467860096427408,28816.99246088195,5,4,0,0,Master,0.26636114043279757,1330.063874674783,0.2502867593911903,0
